Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,7.105749661725058,2.5026792737991377,1.4598994855930805,1.7142819067317026,0.08647696443473117,NA
DPM1,1256.942904801382,0.7960843432906337,0.1303912600378592,6.105350489438403,1.025753355776598e-9,1.0530678841232861e-8
SCYL3,740.6129750983549,0.2514511255945787,0.15451895588207354,1.6273157177329254,0.10367006138282459,0.18542195016268642
C1orf112,1015.0746666485916,0.6710649415482461,0.1392099084451196,4.820525701392861,1.4318040786550334e-6,8.1317133814919e-6
FGR,4.432216504486455,0.854895706443398,1.9429676222949217,0.4399948288554826,0.6599408526290718,NA
CFH,3748.942496995685,0.7820141441151898,0.09937186288740749,7.8695731507141495,3.5585329279959905e-15,9.923408888393313e-14
FUCA2,5027.500246799649,0.31263782941322626,0.09946074322747571,3.143328908152187,0.0016703803277922523,0.005112594636706516
GCLC,990.8492504888227,0.17455353310945196,0.14713064821149682,1.1863845856135655,0.2354704562345547,0.3566999243562282
NFYA,1942.9994579048785,0.2812727371221906,0.11842040784738253,2.3752049349862765,0.01753920917397343,0.04120707586667169
STPG1,424.6255105732855,-0.4391916841260541,0.20793135062016774,-2.1121956011738416,0.03466967566913402,0.07409756839727191
NIPAL3,2330.5602816891055,-0.37973905482790943,0.11486528604844541,-3.3059514139698503,9.465449910733973e-4,0.003064348735979505
LAS1L,4153.584356331012,-0.0932225251834939,0.10408460958649177,-0.89564178175668,0.3704441131002784,0.5033648963595694
SEMA3F,267.58656906791,-0.9656092925694387,0.23468330085977213,-4.114520671184906,3.879847910826484e-5,1.6764148658756294e-4
CFTR,6.390000231254655,-1.022006925627238,1.5529367453608598,-0.6581123981258822,0.5104659097163271,NA
ANKIB1,1635.0735259396988,0.3617211033864695,0.12568338587101052,2.8780343629324694,0.004001615475077072,0.011212542373363714
CYP51A1,4593.295783314438,0.5747607387483219,0.09642300134774785,5.9608260551386225,2.5096600411025407e-9,2.3905481976221177e-8
KRIT1,1790.3201620614873,0.6398472135289816,0.11771830007675507,5.435409898985853,5.467060598447376e-8,4.076635646118882e-7
RAD52,379.94445757023885,-0.007715573460393977,0.20103568301141586,-0.038379124266988196,0.9693854051392182,0.9810860843151474
MYH16,18.273699998810457,-0.4399051974247064,0.8869520211696509,-0.49597406277353073,0.6199127106758189,0.7319505922013841
BAD,1421.4081646961706,-0.4610494117913424,0.12848096883597598,-3.5884646260718722,3.326311139674386e-4,0.0011882675005080053
LAP3,4031.5856434919824,0.2587547614826136,0.11049721755550909,2.3417310155581634,0.01919454291923717,0.044584423217296915
CD99,2051.5294277212024,-0.07724647463258605,0.11621510522594702,-0.6646853219502092,0.5062517839126089,0.6349734156402306
HS3ST1,5.091198911699309,-1.0577132630737136,1.612524935015463,-0.6559360665412414,0.5118652610753758,NA
AOC1,5.781424908400785,0.8542771060712484,1.4638852864754341,0.5835683396532206,0.5595107661817131,NA
HECW1,7.489473343929902,-1.1446880110390658,1.3841478292528984,-0.8269983789642741,0.4082379802782268,NA
MAD1L1,3360.155415519924,-0.5107692761098909,0.11760344071712116,-4.343149086415557,1.4045474860801565e-5,6.575640258458267e-5
LASP1,22351.186956147005,-0.6455956485104443,0.10862253101411803,-5.943478231293782,2.7903682294374133e-9,2.6332110834353538e-8
SNX11,1363.3917987601994,-0.17855453667569832,0.13232642468945127,-1.349349059303438,0.17722487470017456,0.28570963682786343
TMEM176A,11.818038608549474,0.41631146191383284,1.0374437679843407,0.40128580917950696,0.6882097102897644,NA
M6PR,4106.33533698526,-0.07762544532174857,0.09743714048983504,-0.7966720383163001,0.4256415273986587,0.5585362993689296
KLHL13,141.77023207720637,0.11888578490675084,0.31099853407005,0.3822712067188482,0.7022602095519117,0.7950380009495499
CYP26B1,4.775452595548836,1.094645476362181,1.615811437639296,0.677458675476057,0.49811498098491136,NA
ICA1,1033.7758266763565,0.25741681425830737,0.13711666593189595,1.8773561368985074,0.060469298996383126,0.11864985982539648
DBNDD1,1648.885329538438,-1.0419806104951126,0.1339566159985428,-7.77849307947916,7.339351608215054e-15,1.9378035396424186e-13
ALS2,1521.4315130357897,-0.048980445821088923,0.125348965534812,-0.3907526927893636,0.6959800459413497,0.7903373231702417
CASP10,1212.238881257878,0.3221002795333698,0.13205143159889976,2.439203237960606,0.014719687140340356,0.03539106177905761
CFLAR,3781.3946391671407,0.20319001155893998,0.10105570219585083,2.010673392434085,0.04435996626055601,0.0915272919155502
TFPI,2266.7887804698335,0.8231574062005559,0.11072950639865525,7.433948122526379,1.0540332199199746e-13,2.2284614779610748e-12
NDUFAF7,513.9004015261581,0.5639873345747328,0.18289622722202536,3.0836466292444897,0.002044803166990234,0.006147723634250621
RBM5,3594.597797439638,0.07717846902940992,0.10086155143736313,0.7651921661877189,0.4441571237884203,0.576991605130796
MTMR7,50.7952621109516,0.6643210525338771,0.5256781209582482,1.2637411108586742,0.20632296417076754,0.32214291653254407
SLC7A2,4.477276561093746,0.14854752376383137,1.7421816386586273,0.08526523323836878,0.9320505307021462,NA
ARF5,7550.075422949631,-0.43881445141252245,0.09627206010098334,-4.558066493562449,5.162669414783302e-6,2.6296767888794882e-5
SARM1,681.8625073989816,-0.7367938123709565,0.16455123500872332,-4.47759515346024,7.5488583979686716e-6,3.723790894202931e-5
POLDIP2,6804.845675253684,-0.21637574767439352,0.11152386313750702,-1.9401744307189746,0.05235849484315013,0.10514594064031009
PLXND1,3822.595709472309,-0.9684309389503442,0.12642508928975746,-7.6601167093563856,1.8576419238696173e-14,4.5089829337935513e-13
